Date,RD,Delta
2020-05-12,10,1
2020-05-13,10,1
2020-05-14,10,1
2020-05-15,10,1
2020-05-16,10,1
2020-05-17,10,1
2020-05-18,10,1
2020-05-19,10,1
2020-05-23,10,1
2020-05-25,10,1
2020-05-26,10,1
2020-05-27,10,1
2020-05-28,10,1
2020-05-29,10,1
2020-05-31,10,1
2020-06-08,-18,1
2020-06-09,-15,1
2020-06-10,-18,1
2020-06-13,-25,1
2020-06-14,-25,1
2020-06-25,-10,1
2020-06-27,-8,1
2020-06-28,-17,1
2020-07-03,-15,1
2020-07-05,-15,1
2020-07-14,-25,1
2020-07-17,-25,1
2020-07-26,-25,1
2020-07-28,-25,1
2020-07-29,-25,1
2020-07-30,-25,1
2020-07-31,-26,1
2020-08-02,-10,1
2020-08-10,-20,1
2020-08-11,-20,1
2020-08-12,-15,1
2020-08-13,3.5,0.5
2020-08-15,10,1
2020-08-16,4.5,0.5
2020-08-17,1.5,0.5
2020-08-18,4.5,0.5
2020-08-20,-25,1
2020-08-21,-25,1
2020-08-22,-25,1
2020-08-23,-25,1
2020-08-30,-25,1
2020-09-05,14,1
2020-09-07,10,1
2020-09-10,5.5,0.5
2020-09-14,-12,1
2020-09-18,10,1
2020-09-19,-15,1
2020-09-20,-2,1
2020-09-21,-14,1
2020-09-23,-5,0.5
2020-09-28,4,0.5
2020-09-29,-15,1
2020-09-30,6,0.5
